timespan,make_width,take_width,kelp_profit,resin_profit,total_profit
10,1.5,1.5,682,3055,3737
20,1.0,0.5,512,3400,3912
10,2.0,0.5,512,3400,3912
10,2.5,1.0,676,3345,4021
15,2.5,1.0,591,3386,3977
15,1.0,1.0,591,3386,3977
10,2.0,1.0,676,3345,4021
20,3.5,1.5,676,3345,4021
15,4.5,1.0,591,3386,3977
20,2.0,1.0,508,3398,3906
10,5.0,0.5,677,3363,4040
15,2.5,1.5,677,3363,4040
20,2.5,0.5,512,3400,3912
10,3.0,1.5,682,3055,3737
5,4.0,1.0,733,3114,3847
15,2.0,1.0,591,3386,3977
15,2.0,1.5,602,3198,3800
15,5.0,0.5,589,3398,3987
5,1.0,1.5,733,2744,3477
10,1.0,1.5,682,3055,3737
10,2.0,1.5,682,3055,3737
10,5.0,1.0,676,3345,4021
10,3.5,0.5,676,3345,4021
20,5.0,0.5,512,3400,3912
5,4.5,1.5,733,2744,3477
20,4.0,1.0,508,3398,3906
10,4.5,1.0,676,3345,4021
20,3.5,1.0,508,3398,3906
20,3.0,1.0,508,3398,3906
15,4.5,1.5,602,3198,3800
20,1.0,1.0,602,3198,3800
20,4.0,1.5,513,3294,3807
5,3.5,1.0,733,3114,3847
10,3.5,1.5,682,3055,3737
15,4.5,0.5,682,3055,3737
10,4.5,0.5,677,3363,4040
5,2.0,1.5,733,2744,3477
15,3.0,1.5,602,3198,3800
15,4.0,1.0,591,3386,3977
5,1.5,0.5,726,3190,3916
5,5.0,1.5,733,2744,3477
20,3.5,0.5,512,3400,3912
15,1.0,1.5,602,3198,3800
5,1.5,1.5,733,2744,3477
20,3.0,1.5,513,3294,3807
5,4.0,1.5,733,2744,3477
15,3.0,1.0,591,3386,3977
15,3.5,0.5,589,3398,3987
15,4.0,1.5,602,3198,3800
5,3.0,0.5,726,3190,3916
10,5.0,1.5,682,3055,3737
20,1.5,1.5,513,3294,3807
5,4.5,0.5,726,3190,3916
10,2.5,1.5,682,3055,3737
5,2.0,1.0,733,3114,3847
15,4.0,0.5,589,3398,3987
5,3.0,1.0,733,3114,3847
10,4.0,0.5,677,3363,4040
20,4.5,1.0,508,3398,3906
5,2.5,1.0,733,3114,3847
5,1.5,1.0,733,3114,3847
10,1.0,0.5,677,3363,4040
5,2.0,0.5,726,3190,3916
20,2.0,0.5,512,3400,3912
20,1.5,1.0,508,3398,3906
15,3.5,1.0,591,3386,3977
20,4.5,1.5,513,3294,3807
20,1.0,1.5,513,3294,3807
15,5.0,1.5,602,3198,3800
15,1.5,1.0,591,3386,3977
20,4.0,0.5,512,3400,3912
10,3.5,1.0,676,3345,4021
5,2.5,1.5,733,2744,3477
5,3.5,1.5,733,2744,3477
15,5.0,1.0,591,3386,3977
20,1.5,0.5,591,3386,3977
15,2.0,0.5,589,3398,3987
15,2.5,0.5,589,3398,3987
20,4.5,0.5,512,3400,3912
10,4.5,1.5,682,3055,3737
5,4.5,1.0,733,3114,3847
5,4.0,0.5,726,3190,3916
10,1.5,0.5,677,3363,4040
5,3.5,0.5,726,3190,3916
20,2.5,1.5,513,3294,3807
15,1.0,0.5,589,3398,3987
10,4.0,1.0,676,3345,4021
15,1.5,1.5,676,3345,4021
5,2.5,0.5,726,3190,3916
5,5.0,1.0,733,3114,3847
20,3.0,0.5,512,3400,3912
10,3.0,1.0,676,3345,4021
5,1.0,1.0,733,3114,3847
10,1.5,1.0,676,3345,4021
20,5.0,1.0,508,3398,3906
20,2.5,1.0,508,3398,3906
20,2.0,1.5,513,3294,3807
5,5.0,0.5,726,3190,3916
5,1.0,0.5,726,3190,3916
5,3.0,1.5,733,2744,3477
10,3.0,0.5,677,3363,4040
10,1.0,1.0,677,3363,4040
20,5.0,1.5,513,3294,3807
15,3.5,1.5,602,3198,3800
10,4.0,1.5,682,3055,3737
15,3.0,0.5,682,3055,3737
10,2.5,0.5,677,3363,4040
15,1.5,0.5,589,3398,3987
